Age,DailyRate,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
36,1174,3,4,0.23387096774193547,1,0,99,3,2,0.17408906882591094,2,9278,20763,3,1,16,3,4,0,15,3,3,5,4,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
21,546,5,1,0.1274787535410765,3,1,97,3,1,0.16071428571428573,4,3117,26009,1,0,18,3,3,0,3,2,3,2,2,2,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
43,422,1,3,0.1515837104072398,4,0,33,3,2,0.06315789473684211,4,5562,21782,4,0,13,3,2,1,12,2,2,5,2,2,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
42,188,29,3,0.1274787535410765,2,1,56,1,2,0.24338624338624337,4,4272,9558,4,0,19,3,1,0,16,3,3,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
35,992,1,3,0.1274787535410765,4,1,68,2,1,0.24338624338624337,1,2450,21731,1,0,19,3,2,0,3,3,3,3,0,1,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
32,1373,5,4,0.1515837104072398,4,1,56,2,2,0.08928571428571429,4,9679,10138,8,0,24,4,2,0,8,1,3,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
46,644,1,4,0.1274787535410765,4,1,97,3,3,0.06315789473684211,1,9396,12368,7,0,16,3,3,1,17,3,3,4,2,0,3,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
40,759,2,2,0.23387096774193547,4,0,46,3,2,0.17408906882591094,2,5715,22553,7,0,12,3,3,2,8,5,3,5,4,1,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
38,343,15,2,0.1515837104072398,3,1,92,2,3,0.030303030303030304,4,11510,15682,0,1,14,3,2,1,12,3,3,11,10,2,9,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
30,829,1,1,0.1515837104072398,3,1,88,2,3,0.08928571428571429,3,8474,20925,1,0,22,4,3,0,12,2,3,11,8,5,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31,715,2,4,0.13846153846153847,4,1,54,3,2,0.17408906882591094,1,5332,21602,7,0,13,3,4,0,10,3,3,5,2,0,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
37,309,10,4,0.1515837104072398,4,0,88,2,2,0.17408906882591094,4,6694,24223,2,1,14,3,3,3,8,5,3,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
46,1009,2,3,0.1515837104072398,1,1,51,3,4,0.030303030303030304,3,17861,2288,6,0,13,3,3,0,26,2,1,3,2,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
33,465,2,2,0.1515837104072398,1,0,39,3,1,0.24338624338624337,1,2707,21509,7,0,20,4,1,0,13,3,4,9,7,1,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
30,1339,5,3,0.1515837104072398,2,0,41,3,3,0.17408906882591094,4,9419,8053,2,0,12,3,3,1,12,2,3,10,9,7,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
35,682,18,4,0.1274787535410765,2,1,71,3,2,0.17408906882591094,1,5561,15975,0,0,16,3,4,1,6,2,1,5,3,0,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
22,594,2,1,0.23958333333333334,3,1,100,3,1,0.24338624338624337,4,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
33,1141,1,3,0.1515837104072398,3,0,42,4,2,0.17408906882591094,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
36,845,1,5,0.1274787535410765,4,0,45,3,2,0.17408906882591094,4,6653,15276,4,0,15,3,2,0,7,6,3,1,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
27,829,8,1,0.23387096774193547,3,1,84,3,2,0.17408906882591094,4,4342,24008,0,0,19,3,2,1,5,3,3,4,2,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
45,1238,1,1,0.1515837104072398,3,1,74,2,3,0.06315789473684211,3,10748,3395,3,0,23,4,4,1,25,3,2,23,15,14,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
33,827,1,4,0.13846153846153847,3,0,84,4,2,0.06315789473684211,2,5488,20161,1,1,13,3,1,1,6,2,3,6,5,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
29,738,9,5,0.13846153846153847,2,1,30,2,1,0.24338624338624337,4,3983,7621,0,0,17,3,3,0,4,2,3,3,2,2,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
18,230,3,3,0.1515837104072398,3,1,54,3,1,0.24338624338624337,3,1420,25233,1,0,13,3,3,0,0,2,3,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
31,670,26,1,0.1515837104072398,1,1,31,3,1,0.16071428571428573,3,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
42,1210,2,3,0.1274787535410765,3,1,68,2,1,0.24338624338624337,2,4841,24052,4,0,14,3,2,1,4,3,3,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
